record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
4415,23,516,2,23,988,505
2064,13,100,1,13,13,13
6202,24,285,5,24,250,120
947,9,559,2,9,104,56
6564,3,58,1,3,3,3
2702,12,24,1,12,12,12
4373,6,1029,1,6,6,6
2716,3,20,1,3,3,3
5079,15,128,1,15,15,15
4367,5,85,1,5,5,5
3408,11,84,1,11,11,11
953,13,340,1,13,13,13
6570,6,105,2,6,91,48
1579,13,217,1,13,13,13
6216,16,29,1,16,16,16
7108,6,268,1,6,6,6
4401,27,79,1,27,27,27
2070,20,187,1,20,20,20
1551,14,154,1,14,14,14
7120,39,3188,3,39,2676,953
3346,9,17,1,9,9,9
4429,9,205,1,9,9,9
5737,17,2310,1,17,17,17
2058,9,379,1,9,9,9
5051,22,312,1,22,22,22
3420,8,418,1,8,8,8
6558,2,1415,5,2,29,20
1237,45,978,1,45,45,45
1223,13,102,1,13,13,13
5045,6,475,2,6,53,29
3434,17,290,1,17,17,17
3352,5,43,1,5,5,5
5723,22,170,1,22,22,22
1545,2,31,1,2,2,2
7134,7,225,1,7,7,7
5910,9,281,1,9,9,9
2919,7,220,1,7,7,7
984,8,1696,2,8,96,52
990,7,239,1,7,7,7
5904,10,23,1,10,10,10
3385,1,501,1,1,1,1
1592,10,595,1,10,10,10
760,2,1461,1,2,2,2
2925,20,300,6,20,241,90
5092,16,177,1,16,16,16
4398,11,62,1,11,11,11
2931,12,1229,1,12,12,12
5086,15,952,2,15,156,85
774,9,517,5,9,223,109
1586,6,679,1,6,6,6
5938,10,244,1,10,10,10
3391,4,287,1,4,4,4
2110,7,3,1,7,7,7
4561,11,165,1,11,11,11
7068,1,8,1,1,1,1
6376,8,225,1,8,8,8
1419,20,987,2,20,90,55
73,13,433,1,13,13,13
6410,4,45,1,4,4,4
833,4,28,1,4,4,4
3568,14,56,2,14,24,19
4207,9,349,1,9,9,9
5119,3,711,3,3,211,116
2676,3,19,1,3,3,3
4213,12,4,1,12,12,12
2662,9,768,1,9,9,9
6404,8,1359,7,3,78,36
67,15,407,2,15,54,34
827,10,9,1,10,10,10
6362,1,556,1,1,1,1
199,10,18,1,10,10,10
2104,13,90,1,13,13,13
